web-scraper-order,web-scraper-start-url,linkxml,linkxml-href
"1707253424-1","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-28-8vo.xml"
"1707253424-2","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-35-fol.xml"
"1707253424-3","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-36-fol.xml"
"1707253424-4","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-56-4to.xml"
"1707253424-5","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-60-4to.xml"
"1707253424-6","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-63-fol.xml"
"1707253424-7","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-78-4to.xml"
"1707253424-8","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-113-b-fol.xml"
"1707253424-9","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Finnboga-saga.xml"
"1707253424-10","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Bandamanna-saga.xml"
"1707253424-11","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Kormaks-saga.xml"
"1707253424-12","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Viga-Glums-saga.xml"
"1707253424-13","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Droplaugarsona-saga.xml"
"1707253424-14","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Olkofra.xml"
"1707253424-15","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Hallfredar-saga.xml"
"1707253424-16","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-132-fol-Fostbraedra-saga.xml"
"1707253424-17","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-162-B-alfa-fol.xml"
"1707253424-18","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-162-B-fol-theta.xml"
"1707253424-19","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-162-B-fol-kappa.xml"
"1707253424-20","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-178-fol.xml"
"1707253424-21","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-242-fol.xml"
"1707253424-22","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-243-b-alfa-fol.xml"
"1707253424-23","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-279-a-4to.xml"
"1707253424-24","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-302-fol.xml"
"1707253424-25","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-305-fol.xml"
"1707253424-26","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-383-I-4to.xml"
"1707253424-27","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-519a-4to.xml"
"1707253424-28","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-544-4to-Vsp.xml"
"1707253424-29","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-619-4to.xml"
"1707253424-30","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-655-XXX-4to.xml"
"1707253424-31","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/AM-1056-IX-4to.xml"
"1707253424-32","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/DG-4at7-Elis.xml"
"1707253424-33","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/DG-4at7-Pamph.xml"
"1707253424-34","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/DG-4at7-Streng.xml"
